Port_IDs,total_pnl,ROI,total_positions,win_positions,win_rate,sharpe_ratio,max_drawdown,both_position,long_close,long_open,short_close,short_open,final_score
3826087012661391104,0.15269733849011013,1.0,108,63,0.7267932489451476,1.0000000000000002,0.9853361230389618,0,0,16,69,23,0.4687997812061239
4020204877254599680,1.0,0.04030597971063687,6050,1993,0.4104365369958005,0.18415875608308951,0.981305118219382,0,1858,1936,1108,1148,0.4433204733175847
3999240873283311617,0.6511447681513155,0.059077187298811284,4522,2366,0.6518959349229365,0.4056070088159916,0.9878254219191582,4522,0,0,0,0,0.3691777824108946
3768170840939476993,0.1492710982760538,0.725084437159445,14,6,0.5339705502454145,0.666913964756937,0.989077144809812,14,0,0,0,0,0.3180052636154682
3986814617275053313,0.34007897419373434,0.08559926503745857,3554,2780,0.9745889052500252,0.5414331497272233,0.9887238483813691,3554,0,0,0,0,0.31342543739120243
3907081197088384000,0.35997967701696665,0.1040066208306698,4137,2540,0.7649662705151455,0.3992645812879975,0.9552963021941688,4137,0,0,0,0,0.27130910912751405
3956048468100538880,0.162667135760933,0.10524551977885875,28,20,0.889950917075691,0.8004867968661977,0.989077144809812,0,18,4,2,4,0.2681042488231672
4012994295026226176,0.17602613234290584,0.1413870582278218,627,251,0.4987699398092469,0.3890003996465858,0.0,0,65,70,243,249,0.25780117637595074
3891020560590657281,0.18024643759397319,0.15610097312975002,437,283,0.806861678135901,0.6778027254798158,0.989077144809812,0,84,0,199,154,0.2528352266564642
4028701921959171840,0.355064230616279,0.047982239248840375,687,373,0.6764663302720899,0.4696396615371783,0.9866836844184407,0,205,203,178,101,0.2501783871685714
4039129759104249600,0.1613715640846033,0.2708629473524073,133,59,0.5527063590259554,0.7967428926669993,0.989077144809812,133,0,0,0,0,0.24735101072463261
4022641794255717633,0.1721906855677419,0.16453413492338878,6052,2634,0.5422642104772502,0.8454726695348398,0.9747789537377992,0,0,0,3129,2923,0.23653083744219303
3886752488982104320,0.2316881362884436,0.08784846346801933,1249,931,0.9287125903254249,0.3979157583024506,0.9887982638306434,0,558,175,404,112,0.23416221833762302
4022565861939831809,0.3147085177222296,0.03395910790537485,705,372,0.6574275710822975,0.5013495161551811,0.9820618186172111,0,180,131,209,185,0.23177641552581163
3960874214179953664,0.3783739388719596,0.033976636914010816,2391,1233,0.6425065968448589,0.3198767302232895,0.9752844735806117,0,1201,948,148,94,0.2280022813069933
4035430878731345664,0.17594804609990156,0.16956562590294588,89,43,0.6019668000894,0.7271529629744924,0.989077144809812,0,27,16,16,30,0.22793993877659113
4029749871687083265,0.189800422332204,0.2715148824362833,856,367,0.5341784827026752,0.5734247710035327,0.989077144809812,0,173,141,194,348,0.21972987171140107
4039279455324236544,0.15869825396829257,0.09776816933409686,327,181,0.689643921672722,0.7298678211026338,0.989077144809812,0,181,146,0,0,0.21943745632368672
3943533600390906881,0.17437919194628082,0.10089849509614693,1759,964,0.682818509201451,0.6719625589571252,0.9673126070294907,1759,0,0,0,0,0.21870056613770206
3977234346014419201,0.1751601254756388,0.34688051670308656,83,33,0.49537026950478213,0.5081666386630053,0.989077144809812,0,9,12,24,38,0.21258167100940017
